angle,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
0,0.007564,0.028455,-0.111193,0.083186,0.040234,-0.022695,-0.083299,0.059226,0.146421,0.060860,-0.049017,-0.020982,0.003211,0.076424,0.157448,0.317799,0.000000,0.982930,0.041706,-0.091407,0.067782,-0.249998,-0.074754,-0.206080,-0.402685,-0.481962,0.489814,0.510186,0.532515,0.547653
0,0.009496,0.029169,-0.120509,0.086724,0.044816,-0.020251,-0.085323,0.074573,0.149300,0.063461,-0.046952,-0.012745,0.010318,0.077122,0.155841,0.316686,0.000000,0.971745,0.016452,-0.137491,0.068586,-0.260401,-0.068979,-0.197917,-0.398337,-0.479333,0.487753,0.512247,0.590355,0.604774
0,0.008384,0.027613,-0.115673,0.078268,0.044323,-0.021001,-0.086102,0.072434,0.149035,0.065054,-0.042153,0.005408,0.010547,0.084484,0.151245,0.331785,0.000000,0.972702,0.022441,-0.132397,0.056861,-0.256926,-0.065021,-0.200402,-0.368647,-0.432456,0.487736,0.512264,0.582911,0.601114
0,0.003491,0.007858,-0.047949,0.055799,0.014386,-0.027127,-0.029492,0.084577,0.052597,-0.001503,-0.047256,0.000483,0.022893,0.062038,0.044903,0.003820,0.000000,0.993275,0.024783,-0.082689,0.023420,-0.137734,-0.014318,-0.189417,-0.203309,-0.120922,0.495473,0.504527,0.505729,0.509754
0,0.004624,0.010389,-0.051660,0.063043,0.014055,-0.026360,-0.015850,0.088788,0.042461,-0.013364,-0.044378,-0.002265,0.027077,0.051715,0.020235,-0.028547,0.000000,0.995443,0.020259,-0.086781,0.019269,-0.128817,-0.020843,-0.193017,-0.168525,-0.153122,0.496357,0.503643,0.448837,0.447603
0,0.004618,0.010385,-0.051594,0.063066,0.014052,-0.026370,-0.015661,0.088616,0.041934,-0.013585,-0.042961,-0.000894,0.027279,0.051191,0.018671,-0.028371,0.000000,0.995415,0.020194,-0.087423,0.018537,-0.124429,-0.020208,-0.188799,-0.162967,-0.168793,0.496356,0.503644,0.450136,0.448838
0,0.004357,0.010921,-0.049909,0.064674,0.011773,-0.026399,-0.013301,0.089763,0.035374,-0.013265,-0.043533,0.000355,0.025557,0.049475,0.004864,-0.031542,0.000000,0.995602,0.018059,-0.085564,0.018408,-0.127283,-0.026102,-0.187872,-0.167288,-0.160144,0.496520,0.503480,0.441872,0.439990
0,0.009054,0.023013,-0.042089,0.057251,0.047292,-0.019324,-0.038794,-0.020549,0.114968,0.058093,-0.050518,0.006276,-0.003547,0.066701,0.086152,0.095387,0.000000,0.995450,-0.010763,-0.131559,0.084081,-0.125843,-0.078541,-0.145549,-0.403920,-0.133056,0.493436,0.506564,0.446104,0.444078
0,0.010675,0.027811,-0.121242,0.072706,0.041868,-0.023570,-0.083827,0.066151,0.147007,0.056738,-0.053859,-0.020696,0.005351,0.079577,0.152420,0.325050,0.000000,0.997968,0.022409,-0.132992,0.067104,-0.256964,-0.070215,-0.203156,-0.392624,-0.479216,0.492913,0.507087,0.240494,0.247532
0,0.010686,0.027872,-0.121762,0.072704,0.041870,-0.023611,-0.083968,0.066215,0.147147,0.056808,-0.053861,-0.020685,0.005228,0.079683,0.153689,0.328466,0.000000,0.997970,0.022545,-0.131790,0.067233,-0.256811,-0.069668,-0.203916,-0.393519,-0.484010,0.492935,0.507065,0.233607,0.240498
0,0.010979,0.025346,-0.086399,0.086176,0.043978,-0.016860,-0.080101,0.064261,0.137498,0.057587,-0.051117,-0.019720,0.008154,0.091953,0.057899,0.139135,0.000000,0.998245,0.019059,-0.066572,0.075350,-0.248189,-0.066095,-0.207391,-0.319232,-0.243546,0.493300,0.506700,0.304841,0.306598
0,0.005329,0.009802,0.001631,0.041080,0.033216,-0.011273,-0.045964,0.062218,0.118740,0.051028,-0.033039,0.006403,0.043746,0.063411,0.062482,0.048950,0.000000,0.998541,-0.006829,-0.027486,0.056668,-0.191789,-0.061587,-0.131781,-0.152416,-0.075343,0.491800,0.508200,0.446711,0.458145
0,0.011054,0.011130,-0.135744,0.083313,0.040631,-0.008163,-0.093227,0.074335,0.140011,0.067014,-0.046714,-0.011957,0.033063,0.050019,0.117098,0.193008,0.000000,0.977881,0.018522,-0.137854,0.064621,-0.244886,-0.063596,-0.155254,-0.342332,-0.451516,0.491308,0.508692,0.601975,0.604110
0,0.028493,-0.038633,0.013495,0.005625,-0.015290,-0.008227,-0.011095,0.012485,0.002988,-0.011702,0.010377,0.007941,0.015710,-0.007023,0.003451,0.028389,0.000896,-0.036988,0.028313,0.529446,0.234020,0.660607,0.270173,0.957069,0.478719,1.146577,0.499398,0.500602,1.484545,1.485063
0,0.004870,0.012235,-0.052653,0.061216,0.015118,-0.033303,-0.020179,0.086741,0.048250,-0.009564,-0.049091,-0.006955,0.027477,0.056015,0.038116,-0.023025,0.000000,0.996089,0.025025,-0.091502,0.023950,-0.150850,-0.019244,-0.191535,-0.187366,-0.150679,0.496166,0.503834,0.406441,0.406805
0,0.004901,0.011804,-0.053331,0.060850,0.016526,-0.031665,-0.017064,0.085767,0.046129,-0.012767,-0.045111,-0.003031,0.031692,0.048060,0.027180,-0.023411,0.000000,0.995275,0.021375,-0.091433,0.024348,-0.142356,-0.030177,-0.184783,-0.175772,-0.162774,0.496317,0.503683,0.444047,0.443353
